5
3
1.0 0.0 1.0       0 .8 1.
.2 0.2 1.5      180 .2 .6
1.5 -.5 0.        255 .6 .4
4
-.1 0.1 .5       359 .8 1.
1.1 0.2 1.8       60 .2 .6
.7 -.5 0.        195 .6 .8
2.0 0.0 -1.0     230 .8 1.
4 
-.1 0.2 .5       0 .8 1.
1.1 0.3 1.8       99 .2 .6
.7 -.4 0.        278 1. .4
2.0 0.0 -1.0     45 .8 1.
6 2
-.3 1 0	 1 1 1
.3 1 0	 1 1 1
.6 .5 0 	 1 1 1
.3 0 0	 1 1 1
-.3 0 0	 1 1 1
-.6 .5 0	 1 1 1
6 2
-.3 -.1 0	 0 1 1
.3 -.1 0	 60 1 1
.6 -.6 0 	 120 1 1
.3 -1.1 0	 180 1 1
-.3 -1.1 0	 240 1 1
-.6 -.6 0	 300 1 1

